"","GR4J","SAC-SMA","SMAP"
"34730000",0.515130627901775,0.504988713080345,0.463786465754996
"34750000",0.748863724687127,0.762120937486118,0.767931905807438
"35125000",0.833646447049366,0.826766167674117,0.774002858620486
"35170000",0.705801727879239,0.714472349717403,0.658608374831463
"35210000",0.799699922531096,0.790985317331462,0.714653019589813
"35235000",0.429328169069636,0.561811742574631,0.410153129358305
"35240000",0.625160224137238,0.622293184169754,0.576087091063577
"35258000",0.576460262855556,0.652967466809697,0.560259689631916
"35260000",0.726530206926245,0.715613832073728,0.732342311602647
"35263000",0.436651627676395,0.451881549310775,0.355212838426458
"35275000",0.809055693341988,0.835823697362396,0.81677127100432
"35570000",0.54444835541506,0.616938401417079,0.595380609528646
"35668000",0.720185601186351,0.727561565734878,0.622922266642734
"35740000",0.562582966015927,0.601797759565338,0.583808019694839
"35830000",0.661110074617402,0.596163583449535,0.538967458011501
"35950000",0.735287457727559,0.734509712403136,0.595089660385359
"36020000",0.622142640272376,0.63785147375944,0.227490996808949
"36045000",0.731765965243718,0.650111279062263,0.0268368515172249
"36125000",0.645010258333243,0.597751264112071,0.454207923971569
"36130000",0.810813654543409,0.789416184208513,0.70849548423152
"36160000",0.762145724633124,0.688114434101221,0.658791462605084
"36210000",0.643145556084825,0.710190899662512,0.692307317922288
"36250000",0.635391289202403,0.660853110154836,0.556120014496086
"36270000",0.661240369460704,0.653953646843173,0.609710289236989
"36290000",0.770975778372955,0.787578318435361,0.736818082825276
"36320000",0.693233366339302,0.73680789930897,0.738864746199056
"36390000",0.544124666625149,0.580735590530736,0.478751816293105
"36470000",0.786778533734931,0.662314659865971,0.61850177088787
"36520000",0.811827390372731,0.677428854946403,0.647801567786062
"36580000",0.603054252420788,0.77535283028465,0.454574572113201
