"","GR4J","SAC-SMA","SMAP"
"34730000",3.70536369156904,4.64889136955736,5.70562338919937
"34750000",2.25163265804974,3.12263396290518,5.37031844783678
"35125000",1.23719115497273,2.28055104410744,5.09911569773783
"35170000",2.50920067984596,3.08711378116464,4.92976633964556
"35210000",3.34056758536549,3.21345473911128,3.1110034855949
"35235000",4.29636009421612,4.60405687050329,4.74704471767945
"35240000",4.08201416583792,3.56130904659636,3.88758742870499
"35258000",4.54940440024269,4.73792256020225,5.31021959636782
"35260000",3.23934968863722,3.80381050841355,4.44525175579503
"35263000",4.90221968117223,4.47037359237343,4.28782620249017
"35275000",2.83023004694507,2.23097890517066,2.47915040432304
"35570000",4.78128855966573,5.8955621003421,5.77737360925258
"35668000",4.07970762368075,2.76219702992376,4.59512447926778
"35740000",3.2092642644764,2.95223867326391,4.7371348199427
"35830000",3.29563549087181,3.40758455376382,4.97951309351961
"35950000",4.29040479660517,2.94132688931577,4.11416642617375
"36020000",3.01177177070701,4.09534272119796,7.0420379302659
"36045000",2.74270889943546,4.41819984416783,5.18582027986274
"36125000",3.53033442194049,3.84428196917912,4.77360322160151
"36130000",2.09025852556866,3.21922953028305,6.00281892830905
"36160000",3.43175628321714,5.01225928698042,7.38710224201319
"36210000",2.47327084913333,3.54071042050598,4.76207448673593
"36250000",3.04056388179055,5.74283955864462,4.61244979079767
"36270000",3.79722908261767,4.40901315819761,5.85408482713181
"36290000",2.04590272110841,1.99978954004392,4.33999590869286
"36320000",2.47091291401777,2.89835356964333,3.36705762982576
"36390000",4.21676378666923,5.65133080702284,5.17074202144959
"36470000",3.14364702321533,3.24968058047501,5.7547143246235
"36520000",2.66504419506314,5.02159538173591,7.43622825435695
"36580000",3.04093392847094,2.76712683054282,4.08864705017205
