"","GR4J","SAC-SMA","SMAP"
"34730000",0.454202684970426,0.421883441215954,0.394184041074998
"34750000",0.680258667133848,0.562871842950588,0.518884610031817
"35125000",0.729411406306111,0.772873524388523,0.675930080230458
"35170000",0.651117849009665,0.67265595829271,0.636228119552806
"35210000",0.682629622432722,0.708181358108186,0.681373747307019
"35235000",0.676820932913698,0.662854911211946,0.579533289197196
"35240000",0.572132843307562,0.608866087538245,0.598576759856632
"35258000",0.573559730476665,0.55032822280091,0.552144033906408
"35260000",0.688457501775514,0.614159393849036,0.690088197243815
"35263000",0.463792250632789,0.45289308187945,0.349092496671531
"35275000",0.823444999842744,0.853619700512996,0.83151559658571
"35570000",0.61328783856094,0.521137083776398,0.482722387543212
"35668000",0.579653398476401,0.597223010600345,0.544480570525341
"35740000",0.506859079415248,0.50395792859417,0.401027331845653
"35830000",0.623392399761467,0.51075511509994,0.572372264041891
"35950000",0.607557047592975,0.648205128557007,0.580577103678886
"36020000",0.74285561045172,0.620581912773556,0.65819019647097
"36045000",0.47100999990488,0.189338103018917,0.150884759207879
"36125000",0.559947989870981,0.578628915930356,0.411320123096291
"36130000",0.71865770365257,0.693542423971547,0.6028289725646
"36160000",0.666572988966856,0.358715641402764,0.382047512902242
"36210000",0.403841179160001,0.437366528662132,0.197431007545042
"36250000",0.507042892029073,0.188374758097537,0.100611092057715
"36270000",0.618308994702291,0.512187167133261,0.545481363084728
"36290000",0.726042610219531,0.737387751770477,0.654420002652444
"36320000",0.662901894270719,0.780845833678039,0.73988592722313
"36390000",0.499380784933275,0.518452777576603,0.532936441836263
"36470000",0.702424440946476,0.576003091643941,0.553899069835968
"36520000",0.7453987165813,0.621229242744139,0.56655426233039
"36580000",0.802315144192072,0.801681533539481,0.653900698631365
